school_id,cluster_id,block_id,district_id,state_id,latitude,longitude
1000000007,100000004,10007,102,9,15.643,75.153
1000000001,100000006,10008,105,7,15.81,75.545
1000000007,100000001,10005,110,1,15.711,75.315
1000000004,100000006,10000,108,7,15.963,75.973
1000000002,100000003,10002,110,8,15.989,75.135
1000000003,100000006,10004,101,2,15.275,75.876
1000000010,100000000,10007,104,3,15.179,75.47
1000000008,100000005,10001,101,3,15.68,75.17
1000000009,100000003,10001,107,4,15.26,75.213
1000000005,100000009,10000,102,8,15.942,75.541
1000000003,100000005,10004,102,5,15.3,75.506
1000000005,100000006,10000,109,2,15.543,75.854
1000000002,100000004,10005,101,2,15.23,75.798
1000000006,100000009,10004,106,3,15.802,75.269
1000000007,100000008,10002,106,1,15.265,75.895
1000000001,100000008,10009,101,8,15.815,75.399
1000000010,100000002,10003,108,4,15.415,75.838
1000000002,100000009,10005,100,2,15.5,75.711
1000000002,100000010,10003,106,5,15.349,75.49
1000000007,100000003,10003,104,9,15.519,75.945
1000000005,100000005,10009,102,9,15.966,75.126
1000000010,100000006,10003,106,7,15.46,75.26
1000000005,100000006,10010,105,9,15.95,75.158
1000000006,100000005,10007,104,8,15.657,75.876
1000000005,100000001,10000,106,6,15.99,75.293
1000000006,100000008,10000,108,5,15.475,75.367
1000000004,100000002,10000,110,7,15.454,75.998
1000000002,100000008,10001,107,6,15.988,75.42
1000000006,100000007,10000,101,9,15.91,75.86
1000000000,100000004,10004,106,10,15.289,75.249
1000000009,100000005,10002,103,7,15.379,75.208
1000000005,100000005,10006,110,6,15.998,75.974
1000000002,100000010,10000,108,1,15.614,75.19
1000000001,100000005,10000,108,10,15.351,75.844
1000000001,100000002,10006,101,2,15.219,75.145
1000000002,100000002,10003,107,4,15.8,75.978
1000000009,100000008,10007,101,9,15.63,75.877
1000000006,100000010,10003,108,8,15.836,75.794
1000000008,100000004,10005,102,8,15.73,75.391
1000000000,100000008,10009,110,8,15.153,75.408
1000000002,100000010,10000,107,2,15.774,75.271
1000000000,100000009,10001,100,4,15.88,75.2
1000000008,100000007,10001,110,5,15.338,75.526
1000000008,100000003,10001,105,1,15.505,75.235
1000000008,100000001,10009,109,2,15.683,75.974
1000000003,100000001,10007,104,10,15.83,75.973
1000000000,100000003,10004,105,5,15.294,75.626
1000000004,100000002,10003,110,9,15.441,75.602
1000000003,100000003,10010,102,2,15.17,75.354
1000000005,100000010,10001,100,3,15.694,75.74
1000000010,100000004,10004,110,4,15.203,75.975
1000000004,100000001,10006,108,2,15.164,75.919
1000000002,100000006,10004,103,9,15.278,75.508
1000000005,100000004,10002,104,4,15.922,75.798
1000000003,100000009,10010,108,6,15.481,75.423
1000000001,100000007,10001,105,5,15.883,75.308
1000000007,100000000,10009,101,6,15.742,75.58
1000000001,100000005,10010,108,3,15.966,75.574
1000000008,100000005,10001,109,8,15.6,75.335
1000000001,100000005,10008,107,10,15.293,75.417
1000000003,100000001,10010,108,7,15.569,75.163
1000000009,100000007,10002,108,9,15.441,75.766
1000000001,100000003,10002,110,2,15.986,75.275
1000000005,100000000,10003,104,2,15.981,75.988
1000000001,100000002,10002,105,7,15.185,75.434
1000000001,100000004,10008,102,5,15.152,75.261
1000000002,100000000,10007,106,7,15.61,75.708
1000000009,100000002,10009,109,5,15.559,75.897
1000000001,100000008,10009,108,2,15.589,75.261
1000000001,100000010,10007,100,1,15.174,75.72
1000000009,100000010,10001,108,5,15.844,75.683
1000000010,100000010,10008,108,8,15.951,75.332
1000000001,100000009,10003,102,9,15.254,75.653
1000000004,100000010,10002,107,4,15.453,75.467
1000000008,100000007,10000,102,1,15.314,75.442
1000000010,100000009,10005,101,9,15.96,75.18
1000000009,100000004,10009,101,3,15.315,75.629
1000000000,100000005,10008,110,2,15.398,75.176
1000000000,100000008,10007,103,5,15.88,75.373
1000000001,100000008,10010,101,1,15.47,75.912
1000000007,100000002,10005,102,10,15.18,75.769
1000000008,100000005,10009,104,8,15.443,75.912
1000000009,100000003,10010,109,9,15.442,75.641
1000000004,100000004,10009,107,5,15.883,75.1
1000000008,100000008,10000,103,1,15.716,75.429
1000000004,100000006,10001,104,3,15.795,75.61
1000000007,100000010,10005,103,3,15.751,75.573
1000000009,100000006,10005,100,1,15.588,75.471
1000000003,100000004,10010,103,3,15.668,75.557
1000000000,100000005,10009,105,4,15.345,75.919
1000000005,100000001,10004,106,9,15.572,75.65
1000000007,100000001,10010,103,1,15.467,75.562
1000000001,100000000,10002,104,10,15.882,75.144
1000000010,100000005,10004,109,2,15.736,75.47
1000000006,100000007,10004,104,10,15.4,75.635
1000000005,100000006,10010,107,2,15.7,75.455
1000000002,100000007,10004,102,8,15.703,75.265
1000000000,100000002,10002,103,7,15.782,75.595
1000000002,100000006,10004,101,6,15.931,75.298
1000000001,100000006,10002,100,8,15.256,75.929
1000000009,100000004,10003,102,4,15.839,75.377
1000000000,100000004,10005,104,8,15.869,75.803
1000000007,100000001,10000,103,1,15.702,75.551
1000000008,100000007,10006,109,7,15.293,75.981
1000000002,100000008,10002,103,5,15.488,75.195
1000000003,100000009,10009,104,4,15.15,75.91
1000000007,100000007,10001,108,9,15.782,75.618
1000000006,100000009,10000,108,2,15.95,75.44
1000000004,100000007,10003,103,9,15.83,75.577
1000000002,100000008,10003,107,9,15.846,75.222
1000000008,100000001,10004,105,9,15.15,75.526
1000000001,100000007,10001,104,8,15.17,75.44
1000000002,100000010,10010,101,3,15.9,75.324
1000000005,100000009,10004,106,10,15.647,75.451
1000000007,100000000,10010,101,5,15.192,75.36
1000000001,100000008,10003,106,9,15.554,75.69
1000000007,100000000,10000,102,7,15.357,75.373
1000000008,100000009,10007,104,5,15.302,75.273
1000000008,100000005,10009,104,7,15.526,75.256
1000000004,100000007,10000,109,2,15.645,75.533
1000000002,100000004,10000,110,6,15.413,75.967
1000000008,100000008,10009,106,2,15.668,75.147
1000000007,100000005,10004,101,5,15.253,75.342
1000000009,100000010,10010,107,5,15.105,75.592
1000000009,100000005,10005,103,9,15.403,75.915
1000000001,100000009,10003,101,7,15.282,75.743
1000000010,100000001,10005,108,10,15.552,75.922
1000000002,100000001,10004,107,4,15.892,75.791
1000000000,100000010,10004,103,2,15.494,75.228
1000000004,100000010,10002,107,9,15.29,75.369
1000000000,100000000,10000,101,3,15.24,75.347
1000000005,100000004,10002,103,5,15.858,75.827
1000000004,100000005,10010,104,3,15.2,75.67
1000000009,100000003,10010,106,6,15.276,75.531
1000000002,100000010,10000,102,4,15.624,75.97
1000000001,100000006,10003,106,10,15.709,75.11
1000000004,100000001,10008,110,3,15.77,75.454
1000000001,100000003,10005,104,7,15.65,75.953
1000000000,100000002,10003,101,10,15.602,75.421
1000000005,100000001,10000,109,9,15.199,75.491
1000000005,100000002,10003,106,3,15.225,75.336
1000000006,100000009,10005,102,3,15.368,75.996
1000000008,100000001,10009,108,9,15.479,75.522
1000000006,100000000,10003,103,8,15.871,75.327
1000000008,100000009,10003,103,4,15.52,75.514
1000000009,100000000,10010,108,8,15.46,75.958
1000000007,100000000,10007,108,10,15.751,75.925
1000000000,100000010,10007,101,6,15.906,75.799
1000000009,100000005,10007,108,5,15.6,75.883
1000000003,100000003,10003,105,9,15.906,75.869
1000000003,100000009,10003,104,4,15.303,75.787
1000000008,100000005,10006,107,8,15.461,75.47
1000000006,100000001,10004,103,10,15.718,75.39
1000000010,100000000,10001,108,6,15.239,75.13
1000000010,100000001,10007,109,4,15.556,75.838
1000000004,100000008,10006,101,9,15.528,75.25
1000000000,100000001,10008,109,6,15.727,75.815
1000000001,100000006,10004,106,5,15.789,75.339
1000000005,100000002,10008,110,10,15.317,75.453
1000000006,100000008,10004,104,10,15.469,75.715
1000000002,100000002,10005,107,9,15.812,75.338
1000000002,100000010,10005,105,8,15.468,75.529
1000000000,100000009,10003,110,4,15.1,75.419
1000000004,100000007,10004,106,10,15.572,75.79
1000000005,100000000,10007,107,2,15.715,75.493
1000000007,100000010,10007,102,4,15.6,75.944
1000000009,100000006,10001,109,3,15.827,75.591
1000000010,100000006,10007,107,2,15.431,75.994
1000000010,100000004,10002,107,5,15.853,75.195
1000000006,100000003,10006,103,7,15.216,75.532
1000000006,100000008,10007,108,3,15.774,75.854
1000000002,100000003,10010,103,2,15.497,75.58
1000000000,100000006,10009,101,8,15.38,75.929
1000000008,100000003,10003,101,10,15.432,75.188
1000000001,100000010,10000,107,5,15.468,75.643
1000000000,100000005,10004,101,9,15.396,75.86
1000000008,100000000,10007,106,8,15.493,75.471
1000000000,100000004,10003,106,8,15.942,75.77
1000000004,100000005,10000,102,5,15.644,75.125
1000000005,100000002,10008,104,9,15.699,75.286
1000000004,100000004,10008,107,7,15.984,75.242
1000000009,100000010,10002,110,3,15.235,75.365
1000000010,100000005,10003,104,9,15.199,75.82
1000000009,100000003,10003,104,9,15.15,75.849
1000000007,100000000,10006,107,5,15.298,75.826
1000000003,100000009,10007,108,3,15.773,75.117
1000000005,100000004,10009,110,9,15.81,75.542
1000000005,100000001,10004,102,1,15.131,75.872
1000000000,100000003,10000,100,2,15.933,75.724
1000000005,100000004,10006,100,1,15.834,75.706
1000000000,100000006,10006,107,7,15.298,75.878
1000000003,100000001,10002,110,3,15.275,75.606
1000000002,100000005,10004,104,6,15.984,75.22
1000000005,100000003,10009,109,2,15.33,75.602
1000000005,100000009,10009,108,3,15.327,75.296
1000000008,100000007,10007,103,2,15.338,75.88
1000000007,100000003,10007,107,1,15.62,75.824
1000000008,100000002,10005,100,10,15.751,75.227
1000000005,100000007,10010,100,4,15.699,75.296
1000000004,100000008,10002,102,3,15.83,75.229
1000000009,100000006,10007,108,9,15.511,75.76
1000000008,100000010,10001,106,2,15.272,75.603
1000000001,100000002,10009,101,1,15.46,75.314
1000000005,100000004,10006,110,8,15.718,75.922
1000000000,100000008,10005,107,9,15.858,75.156
1000000003,100000001,10000,106,9,15.258,75.701
1000000003,100000007,10000,110,3,15.997,75.549
1000000005,100000009,10002,105,7,15.16,75.388
1000000008,100000001,10003,104,3,15.497,75.893
1000000010,100000002,10005,106,8,15.494,75.546
1000000002,100000007,10002,103,5,15.415,75.194
1000000010,100000002,10000,109,1,15.975,75.843
1000000002,100000004,10010,101,5,15.331,75.885
1000000001,100000002,10002,104,10,15.538,75.557
1000000008,100000009,10006,100,5,15.414,75.916
1000000004,100000002,10005,102,8,15.487,75.974
1000000006,100000003,10008,104,5,15.48,75.33
1000000005,100000009,10009,101,4,15.784,75.217
1000000000,100000003,10003,102,1,15.605,75.71
1000000000,100000008,10004,104,7,15.738,75.942
1000000001,100000003,10003,106,9,15.797,75.857
1000000005,100000000,10005,110,8,15.511,75.331
1000000010,100000006,10007,110,7,15.707,75.263
1000000004,100000010,10001,108,6,15.89,75.305
1000000005,100000010,10004,109,10,15.32,75.915
1000000005,100000005,10010,100,1,15.413,75.603
1000000003,100000004,10006,107,5,15.517,75.148
1000000001,100000004,10006,104,3,15.336,75.432
1000000003,100000003,10000,100,6,15.395,75.216
1000000001,100000008,10004,105,6,15.475,75.251
1000000008,100000002,10008,109,7,15.692,75.466
1000000002,100000005,10003,104,7,15.985,75.691
1000000002,100000008,10004,102,3,15.84,75.12
1000000009,100000005,10007,110,6,15.631,75.212
1000000006,100000003,10006,107,2,15.846,75.335
1000000001,100000007,10007,104,3,15.702,75.777
1000000005,100000002,10004,108,9,15.651,75.713
1000000003,100000009,10000,104,4,15.19,75.268
1000000003,100000000,10003,109,6,15.646,75.796
1000000004,100000000,10002,108,8,15.973,75.144
1000000006,100000002,10002,110,7,15.873,75.274
1000000008,100000000,10004,101,10,15.367,75.201
1000000009,100000001,10003,102,5,15.854,75.113
1000000010,100000002,10008,107,6,15.335,75.794
1000000000,100000010,10001,100,1,15.46,75.184
1000000005,100000003,10002,110,10,15.414,75.555
1000000010,100000005,10001,108,3,15.319,75.321
1000000007,100000009,10008,103,2,15.435,75.896
1000000005,100000003,10010,102,6,15.468,75.438
1000000008,100000008,10005,107,10,15.878,75.52
1000000007,100000001,10004,100,2,15.886,75.134
1000000007,100000009,10005,103,1,15.206,75.165
1000000002,100000002,10009,102,7,15.195,75.9
1000000010,100000009,10009,108,5,15.926,75.809
1000000003,100000002,10003,109,4,15.444,75.204
1000000002,100000009,10008,105,2,15.126,75.825
1000000004,100000006,10010,109,7,15.17,75.5
1000000008,100000005,10007,105,9,15.193,75.106
1000000001,100000007,10001,105,6,15.327,75.31
1000000000,100000005,10008,102,1,15.877,75.969
1000000009,100000000,10008,109,6,15.433,75.43
